	gene_human	entrez_id_human	gene_mouse	MGI	MP
5904	ESYT2	57488	Esyt2	MGI:1261845	MP:0005378, MP:0005384, MP:0005387, MP:0005397
5905	ESYT3	83850	Esyt3	MGI:1098699	MP:0005376, MP:0005397
5906	ETAA1	54465	Etaa1	MGI:1915395	
5907	ETDA	101928677	Etd	MGI:1916751	
5908	ETDB	100129515	Etd	MGI:1916751	
5909	ETDC	110806299	Etd	MGI:1916751	
5910	ETF1	2107	Etf1	MGI:2385071	
5911	ETFA	2108	Etfa	MGI:106092	
5912	ETFB	2109	Etfb	MGI:106098	
5913	ETFBKMT	254013	Etfbkmt	MGI:2443575	MP:0005376, MP:0005384
5914	ETFDH	2110	Etfdh	MGI:106100	MP:0005391, MP:0010768
5915	ETFRF1	144363	Etfrf1	MGI:1914886	
5916	ETHE1	23474	Ethe1	MGI:1913321	MP:0005367, MP:0005376, MP:0005378, MP:0005386, MP:0005397, MP:0010768
5917	ETNK1	55500	Etnk1	MGI:1922570	MP:0005387, MP:0005390, MP:0005397, MP:0010768
5918	ETNK2	55224	Etnk2	MGI:2443760	MP:0005384, MP:0005389
5919	ETNPPL	64850	Etnppl	MGI:1919010	MP:0005376
5920	ETS1	2113	Ets1	MGI:95455	MP:0001186, MP:0005378, MP:0005379, MP:0005384, MP:0005387, MP:0005397, MP:0010768, MP:0010771
5921	ETS2	2114	Ets2	MGI:95456	MP:0002006, MP:0005378, MP:0005379, MP:0005380, MP:0005385, MP:0010768, MP:0010771
5922	ETV1	2115	Etv1	MGI:99254	MP:0003631, MP:0005369, MP:0005378, MP:0005384, MP:0005386, MP:0010768
5923	ETV2	2116	Etv2	MGI:99253	MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0005387, MP:0005397, MP:0010768
5924	ETV3	2117	Etv3	MGI:1350926	
5925	ETV3L	440695	Etv3l	MGI:3646099	
5926	ETV4	2118	Etv4	MGI:99423	MP:0003631, MP:0005367, MP:0005371, MP:0005379, MP:0005386, MP:0005389, MP:0005390, MP:0010771
5927	ETV5	2119	Etv5	MGI:1096867	MP:0003631, MP:0005367, MP:0005371, MP:0005378, MP:0005379, MP:0005382, MP:0005384, MP:0005386, MP:0005388, MP:0005389, MP:0010768
5928	ETV6	2120	Etv6	MGI:109336	MP:0002006, MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005390, MP:0005397, MP:0010768
5929	EVA1A	84141	Eva1a	MGI:2385247	MP:0003631, MP:0005376, MP:0005384, MP:0005385
5930	EVA1B	55194	Eva1b	MGI:1922063	
5931	EVA1C	59271	Eva1c	MGI:1918217	MP:0005386, MP:0005391
5932	EVC	2121	Evc	MGI:1890596	MP:0005371, MP:0005378, MP:0005382, MP:0005386, MP:0005389, MP:0005390, MP:0010768
5933	EVC2	132884	Evc2	MGI:1915775	MP:0003631, MP:0005370, MP:0005371, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771
5934	EVI2A	2123	Evi2a	MGI:95458	
5935	EVI2B	2124	Evi2	MGI:5439444	
5936	EVI2B	2124	Evi2b	MGI:1890682	MP:0005367, MP:0005378
5937	EVI5	7813	Evi5	MGI:104736	MP:0005376
5938	EVI5L	115704	Evi5l	MGI:2442167	
5939	EVL	51466	Evl	MGI:1194884	MP:0005369, MP:0005376, MP:0005384, MP:0005385, MP:0005387, MP:0005397
5940	EVPL	2125	Evpl	MGI:107507	MP:0010771
5941	EVX1	2128	Evx1	MGI:95461	MP:0003631, MP:0005380, MP:0010768
5942	EVX2	344191	Evx2	MGI:95462	MP:0005371, MP:0005378, MP:0005389, MP:0005390
5943	EWSR1	2130	Ewsr1	MGI:99960	MP:0005371, MP:0005376, MP:0005379, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768
5944	EXD1	161829	Exd1	MGI:3045306	MP:0005378, MP:0005384, MP:0005385, MP:0005389, MP:0005397
5945	EXD2	55218	Exd2	MGI:1922485	
5946	EXO1	9156	Exo1	MGI:1349427	MP:0002006, MP:0005376, MP:0005379, MP:0005384, MP:0005387, MP:0005389, MP:0005397, MP:0010768
5947	EXO5	64789	Exo5	MGI:1920422	MP:0005384, MP:0005389
5948	EXOC1	55763	Exoc1	MGI:2445020	MP:0005386, MP:0010768
5949	EXOC1L	644145	Exoc1l	MGI:3647743	
5950	EXOC2	55770	Exoc2	MGI:1913732	MP:0005380, MP:0005384, MP:0010768
5951	EXOC3	11336	Exoc3	MGI:2443972	MP:0005375, MP:0005376, MP:0005378, MP:0005397
5952	EXOC3L1	283849	Exoc3l	MGI:3041195	MP:0005386, MP:0005390
5953	EXOC3L2	90332	Exoc3l2	MGI:1921713	MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005382, MP:0005385, MP:0005386, MP:0005390, MP:0010768
5954	EXOC3L4	91828	Exoc3l4	MGI:1921363	MP:0010768
5955	EXOC4	60412	Exoc4	MGI:1096376	MP:0005376, MP:0005378, MP:0005380, MP:0010768
5956	EXOC5	10640	Exoc5	MGI:2145645	MP:0005367, MP:0005385, MP:0010768
5957	EXOC6	54536	Exoc6	MGI:1351611	MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005397, MP:0010768, MP:0010771
5958	EXOC6B	23233	Exoc6b	MGI:1923164	MP:0005376, MP:0010768
5959	EXOC7	23265	Exoc7	MGI:1859270	
5960	EXOC8	149371	Exoc8	MGI:2142527	MP:0010768
5961	EXOG	9941	Exog	MGI:2143333	
5962	EXOSC1	51013	Exosc1	MGI:1913833	MP:0010768, MP:0010771
5963	EXOSC10	5394	Exosc10	MGI:1355322	MP:0005380, MP:0005384, MP:0005389
5964	EXOSC2	23404	Exosc2	MGI:2385133	MP:0010768
5965	EXOSC3	51010	Exosc3	MGI:1913612	MP:0005367, MP:0005376, MP:0005378, MP:0005385, MP:0010768
5966	EXOSC4	54512	Exosc4	MGI:1923576	
5967	EXOSC5	56915	Exosc5	MGI:107889	
5968	EXOSC6	118460	Exosc6	MGI:1919794	
5969	EXOSC7	23016	Exosc7	MGI:1913696	
5970	EXOSC8	11340	Exosc8	MGI:1916889	MP:0005397, MP:0010768
5971	EXOSC9	5393	Exosc9	MGI:1355319	
5972	EXPH5	23086	Exph5	MGI:2443248	MP:0005376, MP:0005384, MP:0005386, MP:0005387, MP:0005388, MP:0005397
5973	EXT1	2131	Ext1	MGI:894663	MP:0002006, MP:0003631, MP:0005371, MP:0005377, MP:0005378, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005390, MP:0005391, MP:0010768
5974	EXT2	2132	Ext2	MGI:108050	MP:0005380, MP:0005390, MP:0010768
5975	EXTL1	2134	Extl1	MGI:1888742	
5976	EXTL2	2135	Extl2	MGI:1889574	MP:0005384
5977	EXTL3	2137	Extl3	MGI:1860765	MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768, MP:0010771
5978	EYA1	2138	Eya1	MGI:109344	MP:0003631, MP:0005367, MP:0005369, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768
5979	EYA2	2139	Eya2	MGI:109341	MP:0005377, MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005397
5980	EYA3	2140	Eya3	MGI:109339	MP:0005378, MP:0005385, MP:0005386, MP:0005388, MP:0005390
5981	EYA4	2070	Eya4	MGI:1337104	MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005387, MP:0005389, MP:0005390, MP:0010768
5982	EZH1	2145	Ezh1	MGI:1097695	MP:0003631, MP:0005376, MP:0005384, MP:0005387, MP:0005389, MP:0005397
5983	EZH2	2146	Ezh2	MGI:107940	MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771
5984	EZHIP	340602	Ezhip	MGI:2147968	MP:0005379, MP:0005389, MP:0010768
5985	EZR	7430	Ezr	MGI:98931	MP:0005378, MP:0005379, MP:0005381, MP:0005387, MP:0005391, MP:0010768
5986	F10	2159	F10	MGI:103107	MP:0005367, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005389, MP:0010768
5987	F11	2160	F11	MGI:99481	MP:0003631, MP:0005376, MP:0005397
5988	F11R	50848	F11r	MGI:1321398	MP:0005385, MP:0005387, MP:0010768
5989	F12	2161	F12	MGI:1891012	MP:0003631, MP:0005376
5990	F13A1	2162	F13a1	MGI:1921395	MP:0005376, MP:0005385, MP:0005388, MP:0005389, MP:0010768, MP:0010771
5991	F13B	2165	F13b	MGI:88379	MP:0005376
5992	F2	2147	F2	MGI:88380	MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768, MP:0010771
5993	F2R	2149	F2r	MGI:101802	MP:0003631, MP:0005367, MP:0005370, MP:0005371, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0010768
5994	F2RL1	2150	F2rl1	MGI:101910	MP:0003631, MP:0005367, MP:0005370, MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768, MP:0010771
5995	F2RL2	2151	F2rl2	MGI:1298208	MP:0005376, MP:0005397
5996	F2RL3	9002	F2rl3	MGI:1298207	MP:0005376
5997	F3	2152	F3	MGI:88381	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010768, MP:0010771
5998	F5	2153	F5	MGI:88382	MP:0005370, MP:0005376, MP:0005380, MP:0005385, MP:0005386, MP:0010768, MP:0010771
5999	F7	2155	F7	MGI:109325	MP:0005375, MP:0005376, MP:0005378, MP:0005382, MP:0005385, MP:0005390, MP:0010768
6000	F8	2157	F8	MGI:88383	MP:0005376, MP:0005387, MP:0010768
6001	F8A1	8263	F8a	MGI:95474	
6002	F8A2	474383	F8a	MGI:95474	
6003	F8A3	474384	F8a	MGI:95474	
6004	F9	2158	F9	MGI:88384	MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0005387, MP:0005397, MP:0010768
6005	FA2H	79152	Fa2h	MGI:2443327	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771
6006	FAAH	2166	Faah	MGI:109609	MP:0003631, MP:0005376, MP:0005386, MP:0005397
6007	FAAP100	80233	Faap100	MGI:1919135	
6008	FAAP20	199990	Faap20	MGI:1914763	MP:0005379, MP:0005384, MP:0005389, MP:0005397
6009	FAAP24	91442	Faap24	MGI:2142208	
6010	FABP1	2168	Fabp1	MGI:95479	MP:0005370, MP:0005376, MP:0005387, MP:0005397
6011	FABP12	646486	Fabp12	MGI:1922747	MP:0005378
6012	FABP2	2169	Fabp2	MGI:95478	MP:0005367, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005387
6013	FABP3	2170	Fabp3	MGI:95476	MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005391, MP:0010768
6014	FABP4	2167	Fabp4	MGI:88038	MP:0005375, MP:0005376, MP:0005378, MP:0005386
6015	FABP5	2171	Fabp5	MGI:101790	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0010771
6016	FABP5P3	220832	Fabp5	MGI:101790	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0010771
6017	FABP6	2172	Fabp6	MGI:96565	MP:0005370, MP:0005376
6018	FABP7	2173	Fabp7	MGI:101916	MP:0003631, MP:0005376, MP:0005386, MP:0005397
6019	FABP9	646480	Fabp9	MGI:1194881	MP:0005384, MP:0005389
6020	FADD	8772	Fadd	MGI:109324	MP:0003631, MP:0005369, MP:0005375, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005397, MP:0010768
6021	FADS1	3992	Fads1	MGI:1923517	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768
6022	FADS2	9415	Fads2	MGI:1930079	MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768, MP:0010771
6023	FADS2B	643181	Fads2b	MGI:2687041	
6024	FADS3	3995	Fads3	MGI:1928740	MP:0005370, MP:0005376, MP:0005377, MP:0005386
6025	FADS6	283985	Fads6	MGI:3039592	MP:0005376, MP:0005381, MP:0005385, MP:0005389, MP:0005391, MP:0010771
6026	FAF1	11124	Faf1	MGI:109419	MP:0003631, MP:0005376, MP:0005384, MP:0005386, MP:0010768
6027	FAF2	23197	Faf2	MGI:1923827	MP:0003631, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005382, MP:0005385, MP:0005391, MP:0010768
6028	FAH	2184	Fah	MGI:95482	MP:0002006, MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768, MP:0010771
6029	FAHD1	81889	Fahd1	MGI:1915886	MP:0005376
6030	FAHD2A	51011	Fahd2a	MGI:1915376	MP:0005378, MP:0005390
6031	FAHD2B	151313	Fahd2a	MGI:1915376	MP:0005378, MP:0005390
6032	FAIM	55179	Faim	MGI:1344387	MP:0005370, MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005387, MP:0005397, MP:0010768
6033	FAIM	55179	Faiml	MGI:3647754	MP:0005379, MP:0005389
6034	FAIM2	23017	Faim2	MGI:1919643	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005386
6035	FAM104A	84923	Fam104a	MGI:106351	MP:0005376, MP:0005386
6036	FAM107A	11170	Fam107a	MGI:3041256	
6037	FAM107B	83641	Fam107b	MGI:1913790	MP:0005377, MP:0005378, MP:0005382, MP:0005397, MP:0010771
6038	FAM110A	83541	Fam110a	MGI:1921097	
6039	FAM110B	90362	Fam110b	MGI:1916593	MP:0005376, MP:0005386, MP:0005387, MP:0005397
6040	FAM110C	642273	Fam110c	MGI:1918813	
6041	FAM110D	79927	Fam110d	MGI:1919940	
6042	FAM111A	63901	Fam111a	MGI:1915508	
6043	FAM114A1	92689	Fam114a1	MGI:1915553	MP:0005376, MP:0005386
6044	FAM114A2	10827	Fam114a2	MGI:1917629	
6045	FAM117A	81558	Fam117a	MGI:2144564	MP:0003631
6046	FAM117B	150864	Fam117b	MGI:1920000	MP:0005376, MP:0005390, MP:0005391
6047	FAM118A	55007	Fam118a	MGI:1920475	
6048	FAM118B	79607	Fam118b	MGI:1924483	
6049	FAM120A	23196	Fam120a	MGI:2446163	MP:0005375, MP:0005376, MP:0005377, MP:0005378, MP:0005385, MP:0005386, MP:0005390
6050	FAM120B	84498	Fam120b	MGI:1914794	MP:0005369, MP:0005376, MP:0005384, MP:0005385
6051	FAM120C	54954	Fam120c	MGI:2387687	
6052	FAM124A	220108	Fam124a	MGI:3645930	MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005397, MP:0010771
6053	FAM124B	79843	Fam124b	MGI:3026880	
6054	FAM131A	131408	Fam131a	MGI:1925658	MP:0005391, MP:0010768
6055	FAM131B	9715	Fam131b	MGI:1923406	
6056	FAM131C	348487	Fam131c	MGI:2685539	
6057	FAM133B	257415	Fam133b	MGI:1915402	
6058	FAM135A	57579	Fam135a	MGI:1915437	MP:0005376, MP:0005385, MP:0005386, MP:0005391, MP:0005397, MP:0010771
6059	FAM135B	51059	Fam135b	MGI:1917613	MP:0003631
6060	FAM136A	84908	Fam136a	MGI:1913738	
6061	FAM13A	10144	Fam13a	MGI:1889842	MP:0005375, MP:0005376, MP:0005387
6062	FAM13B	51306	Fam13b	MGI:2447834	MP:0005386, MP:0010768
6063	FAM13C	220965	Fam13c	MGI:1918971	
6064	FAM149A	25854	Fam149a	MGI:2387177	
6065	FAM149B1	317662	Fam149b	MGI:2145567	
6066	FAM151A	338094	Fam151a	MGI:2657115	
6067	FAM151B	167555	Fam151b	MGI:1921192	MP:0001186, MP:0003631, MP:0005387, MP:0005391, MP:0005397
6068	FAM156A	29057	Tmem29	MGI:1923420	
6069	FAM156B	727866	Tmem29	MGI:1923420	
6070	FAM161A	84140	Fam161a	MGI:1921123	MP:0003631, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397
6071	FAM161B	145483	Fam161b	MGI:2443027	MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005397
6072	FAM162A	26355	Fam162a	MGI:1917436	MP:0003631, MP:0005385, MP:0005391
6073	FAM162B	221303	Fam162b	MGI:1924546	
6074	FAM163A	148753	Fam163a	MGI:3618859	MP:0005375, MP:0005376, MP:0005378, MP:0005387, MP:0005391, MP:0005397
6075	FAM163B	642968	Fam163b	MGI:1926106	
6076	FAM166A	401565	Fam166a	MGI:3605773	
6077	FAM166B	730112	Fam166b	MGI:2445194	MP:0005376, MP:0005377, MP:0005387, MP:0005397
6078	FAM166C	339778	Fam166c	MGI:1922684	MP:0005378
6079	FAM167A	83648	Fam167a	MGI:3606565	
6080	FAM167B	84734	Fam167b	MGI:2668032	
6081	FAM168A	23201	Fam168a	MGI:2442372	MP:0005376, MP:0005386, MP:0005391
6082	FAM168B	130074	Fam168b	MGI:2448487	
6083	FAM169A	26049	Fam169a	MGI:2444268	
6084	FAM169BP	283777	Fam169b	MGI:3644026	
6085	FAM170A	340069	Fam170a	MGI:2684939	MP:0005378, MP:0005379, MP:0005384, MP:0005389
6086	FAM170B	170370	Fam170b	MGI:2145650	
6087	FAM171A1	221061	Fam171a1	MGI:2442917	
6088	FAM171A2	284069	Fam171a2	MGI:2448496	
6089	FAM171B	165215	Fam171b	MGI:2444579	
6090	FAM172A	83989	Fam172a	MGI:1915925	MP:0005370, MP:0005376, MP:0005377, MP:0005379, MP:0005386, MP:0005387, MP:0005397
6091	FAM174A	345757	Fam174a	MGI:1914948	
6092	FAM174B	400451	Fam174b	MGI:3698178	
6093	FAM174C	55009	Fam174c	MGI:1917020	
6094	FAM177A1	283635	Fam177a	MGI:1920635	
6095	FAM177A1	283635	Fam177a2	MGI:3714351	
6096	FAM178B	51252	Fam178b	MGI:3026913	
6097	FAM180A	389558	Fam180a	MGI:3039626	
6098	FAM181A	90050	Fam181a	MGI:3647570	
6099	FAM181B	220382	Fam181b	MGI:1930951	
6100	FAM183BP	340286	Fam183b	MGI:1922679	
6101	FAM184A	79632	Fam184a	MGI:1923156	
6102	FAM184B	27146	Fam184b	MGI:2442958	MP:0005376
6103	FAM185A	222234	Fam185a	MGI:2140983	MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005397, MP:0010771
6104	FAM186A	121006	Fam186a	MGI:2685766	
6105	FAM186B	84070	Fam186b	MGI:3647604	MP:0005376
6106	FAM187A	100528020	Fam187a	MGI:1914034	
6107	FAM187B	148109	Fam187b	MGI:1923665	
6108	FAM193A	8603	Fam193a	MGI:2447768	MP:0005386, MP:0005387, MP:0005397
6109	FAM193B	54540	Fam193b	MGI:2385851	
6110	FAM199X	139231	Fam199x	MGI:2384304	MP:0005376, MP:0005389
6111	FAM204A	63877	Fam204a	MGI:1289174	
6112	FAM209A	200232	Fam209	MGI:1923676	MP:0005384, MP:0005387, MP:0005389, MP:0005397
6113	FAM209B	388799	Fam209	MGI:1923676	MP:0005384, MP:0005387, MP:0005389, MP:0005397
6114	FAM20A	54757	Fam20a	MGI:2388266	MP:0005367, MP:0005371, MP:0005378, MP:0005382, MP:0005385, MP:0005388, MP:0005390, MP:0010768
6115	FAM20B	9917	Fam20b	MGI:2443990	MP:0005370, MP:0005371, MP:0005378, MP:0005380, MP:0005381, MP:0005388, MP:0005390, MP:0005391, MP:0010768
6116	FAM20C	56975	Fam20c	MGI:2136853	MP:0003631, MP:0005367, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768
6117	FAM210A	125228	Fam210a	MGI:1914000	MP:0005371, MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768
6118	FAM210B	116151	Fam210b	MGI:1914267	MP:0005376
6119	FAM216A	29902	Fam216a	MGI:1916198	MP:0005391
6120	FAM216B	144809	Fam216b	MGI:2145738	
6121	FAM217A	222826	Fam217a	MGI:1919114	
6122	FAM217B	63939	Fam217b	MGI:1918782	MP:0005367, MP:0005376, MP:0005391
6123	FAM219A	203259	Fam219a	MGI:1919151	MP:0005370, MP:0005378, MP:0005379, MP:0005382, MP:0005387, MP:0005390, MP:0005397
6124	FAM219B	57184	Fam219b	MGI:1925573	
6125	FAM220A	84792	Fam220a	MGI:1914488	
6126	FAM220BP	647044	Fam220a	MGI:1914488	
6127	FAM221A	340277	Fam221a	MGI:2442161	MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397
6128	FAM221B	392307	Fam221b	MGI:2441678	
6129	FAM222A	84915	Fam222a	MGI:3605543	MP:0005376, MP:0005386
6130	FAM222B	55731	Fam222b	MGI:2384939	
6131	FAM227A	646851	Fam227a	MGI:1922979	
6132	FAM227B	196951	Fam227b	MGI:1923073	
6133	FAM228A	653140	Fam228a	MGI:1922105	
6134	FAM228B	375190	Fam228b	MGI:2442121	
6135	FAM229A	100128071	Fam229a	MGI:1915483	
6136	FAM229B	619208	Fam229b	MGI:1913587	
6137	FAM234A	83986	Fam234a	MGI:2146854	
6138	FAM234B	57613	Fam234b	MGI:1921775	MP:0005376, MP:0005387, MP:0005397
6139	FAM236A	100129407	1700011M02Rik	MGI:1922693	
6140	FAM236A	100129407	1700018G05Rik	MGI:1916638	
6141	FAM236A	100129407	Gm3880	MGI:3782053	
6142	FAM236A	100129407	Gm9112	MGI:3645559	
6143	FAM236B	100132304	1700011M02Rik	MGI:1922693	
6144	FAM236B	100132304	1700018G05Rik	MGI:1916638	
6145	FAM236B	100132304	Gm3880	MGI:3782053	
6146	FAM236B	100132304	Gm9112	MGI:3645559	
6147	FAM236C	109729126	1700011M02Rik	MGI:1922693	
6148	FAM236C	109729126	1700018G05Rik	MGI:1916638	
6149	FAM236C	109729126	Gm3880	MGI:3782053	
6150	FAM236C	109729126	Gm9112	MGI:3645559	
6151	FAM236D	105373251	1700011M02Rik	MGI:1922693	
6152	FAM236D	105373251	1700018G05Rik	MGI:1916638	
6153	FAM236D	105373251	Gm3880	MGI:3782053	
6154	FAM236D	105373251	Gm9112	MGI:3645559	
6155	FAM237A	200726	Gm39653	MGI:5622538	
6156	FAM237B	107986818	Gm8773	MGI:3646213	
6157	FAM240A	100132146	Fam240a	MGI:2685436	
6158	FAM240B	110806297	Fam240b	MGI:1916130	
6159	FAM241A	132720	Fam241a	MGI:1917867	
6160	FAM241B	219738	Fam241b	MGI:1917144	
6161	FAM246A	117134598	Fam246a	MGI:3045365	
6162	FAM246B	117134597	Fam246a	MGI:3045365	
6163	FAM246C	117134596	Fam246a	MGI:3045365	
6164	FAM24A	118670	Fam24a	MGI:1915473	
6165	FAM24A	118670	Fam24b	MGI:1916568	MP:0001186, MP:0005386, MP:0005397, MP:0010771
6166	FAM24B	196792	Fam24a	MGI:1915473	
6167	FAM24B	196792	Fam24b	MGI:1916568	MP:0001186, MP:0005386, MP:0005397, MP:0010771
6168	FAM25A	643161	Fam25a	MGI:1916384	
6169	FAM25C	644054	Fam25a	MGI:1916384	
6170	FAM25G	100133093	Fam25a	MGI:1916384	
6171	FAM32A	26017	Fam32a	MGI:1915172	MP:0003631, MP:0005367, MP:0005378, MP:0005379, MP:0005380, MP:0005391, MP:0010768
6172	FAM3A	60343	Fam3a	MGI:1913544	MP:0005376, MP:0005387, MP:0005397, MP:0010768
6173	FAM3B	54097	Fam3b	MGI:1270150	MP:0005376, MP:0005379, MP:0005386
6174	FAM3C	10447	Fam3c	MGI:107892	
6175	FAM3D	131177	Fam3d	MGI:1201784	MP:0002006, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005397, MP:0010768
6176	FAM43A	131583	Fam43a	MGI:2676309	MP:0005376, MP:0005386
6177	FAM43B	163933	Fam43b	MGI:3651622	
6178	FAM47A	158724	Fam47c	MGI:1918114	
6179	FAM47B	170062	Fam47c	MGI:1918114	
6180	FAM47C	442444	Fam47c	MGI:1918114	
6181	FAM47DP	139249	Fam47c	MGI:1918114	
6182	FAM47E	100129583	Fam47e	MGI:2686227	
6183	FAM47E-STBD1	100631383	Fam47e	MGI:2686227	
6184	FAM50A	9130	Fam50a	MGI:1351626	
6185	FAM50B	26240	Fam50b	MGI:1351640	
6186	FAM53A	152877	Fam53a	MGI:1919225	MP:0003631, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010771
6187	FAM53B	9679	Fam53b	MGI:1925188	MP:0003631, MP:0005376, MP:0005377, MP:0005385, MP:0005397
6188	FAM53C	51307	Fam53c	MGI:1913556	MP:0005386
6189	FAM72A	729533	Fam72a	MGI:1919669	MP:0005367, MP:0005378, MP:0005384, MP:0005387, MP:0005397
6190	FAM72B	653820	Fam72a	MGI:1919669	MP:0005367, MP:0005378, MP:0005384, MP:0005387, MP:0005397
6191	FAM72C	554282	Fam72a	MGI:1919669	MP:0005367, MP:0005378, MP:0005384, MP:0005387, MP:0005397
6192	FAM72D	728833	Fam72a	MGI:1919669	MP:0005367, MP:0005378, MP:0005384, MP:0005387, MP:0005397
6193	FAM76A	199870	Fam76a	MGI:2385211	
6194	FAM76B	143684	Fam76b	MGI:1920076	
6195	FAM78A	286336	Fam78a	MGI:2443569	
6196	FAM78B	149297	Fam78b	MGI:2443050	
6197	FAM81A	145773	Fam81a	MGI:1924136	MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005397, MP:0010771
6198	FAM81B	153643	Fam81b	MGI:2685122	MP:0005375, MP:0005378
6199	FAM83A	84985	Fam83a	MGI:2447773	MP:0005376
6200	FAM83B	222584	Fam83b	MGI:2685362	MP:0005367, MP:0005378, MP:0005379, MP:0005387, MP:0005389, MP:0005391, MP:0005397
6201	FAM83C	128876	Fam83c	MGI:1918655	
6202	FAM83D	81610	Fam83d	MGI:1919128	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771
6203	FAM83E	54854	Fam83e	MGI:1921063	
6204	FAM83F	113828	Fam83f	MGI:2146227	
6205	FAM83G	644815	Fam83g	MGI:1916890	MP:0005376, MP:0005378, MP:0005397, MP:0010771
